Precipitation_mm,Min_Temp_C,Max_Temp_C
0.0,18.8,26.2
13.6,18.2,28.0
2.5,18.3,28.5
1.4,19.6,27.4
4.2,18.0,26.5
30.8,17.9,27.0
5.6,18.0,29.3
58.3,18.0,29.2
0.0,18.0,29.2
0.0,17.8,25.3
1.6,17.5,25.2
9.4,18.0,22.6
1.0,17.5,26.5
0.0,18.0,27.7
9.8,17.5,19.5
46.8,16.3,26.9
0.0,16.7,29.0
0.0,14.4,27.8
0.0,13.6,28.1
0.0,16.0,27.5
0.0,17.5,27.2
0.0,16.0,26.4
0.0,13.2,27.2
0.0,15.1,27.6
0.0,16.0,25.8
0.0,14.6,26.8
3.4,15.2,25.4
65.0,16.5,22.8
15.2,15.3,22.6
0.0,12.5,26.9
0.0,13.0,27.4
0.0,10.7,28.5
0.0,10.1,27.3
0.0,10.5,27.3
0.0,11.0,27.6
0.0,11.1,27.7
0.0,11.3,28.7
0.0,11.3,27.9
0.0,12.1,27.2
0.0,12.6,27.4
0.0,11.9,27.4
0.0,11.8,27.2
0.0,9.8,25.8
0.0,9.1,26.1
0.0,10.4,25.5
0.0,9.2,26.2
0.0,9.5,25.9
0.0,8.6,25.7
0.0,8.6,25.5
0.0,8.3,25.0
0.0,8.0,24.0
0.0,10.0,25.0
0.0,8.4,24.8
0.0,9.9,24.6
0.0,9.5,25.0
0.0,10.0,24.1
0.0,8.2,23.8
0.0,7.8,23.4
0.0,7.4,22.6
0.0,8.4,22.7
0.0,6.0,22.0
0.0,7.4,22.3
0.0,5.4,21.7
0.0,6.0,17.7
0.0,8.7,19.4
0.0,9.7,24.5
0.0,5.9,22.6
0.0,8.5,21.5
0.0,5.2,22.8
0.0,6.5,24.2
0.0,6.0,23.9
0.0,6.2,23.4
0.0,6.3,22.2
0.0,6.1,23.5
0.0,6.0,22.7
1.2,5.1,22.2
0.0,4.5,22.6
0.0,6.2,17.3
0.0,7.2,21.8
0.0,3.8,21.2
0.0,4.4,21.6
0.0,3.5,22.9
0.0,3.8,23.0
0.0,4.6,22.4
0.0,4.9,22.0
0.0,4.4,21.7
0.0,4.5,21.9
0.0,3.7,23.3
0.0,3.5,24.0
0.0,3.0,21.9
0.0,6.6,19.5
0.0,8.5,19.4
0.0,4.5,20.4
0.0,6.6,19.2
0.0,7.2,20.8
0.0,6.0,20.6
0.0,6.8,20.0
0.0,7.0,19.8
0.0,4.6,19.0
0.0,5.4,18.4
0.0,4.0,20.1
0.0,1.9,21.1
0.0,2.3,21.5
0.0,1.8,21.9
0.0,1.5,21.5
0.0,1.6,21.4
0.0,0.9,21.0
0.0,1.2,21.0
0.0,1.7,19.5
0.0,1.6,19.6
0.0,2.6,21.0
0.0,3.2,21.4
0.0,2.0,24.6
0.3,8.0,19.0
1.0,3.0,21.3
0.0,0.5,22.5
0.0,-3.0,22.1
0.0,-0.9,21.7
0.0,0.5,21.0
0.0,1.3,21.4
0.0,2.0,20.2
0.0,5.4,19.2
0.0,6.4,19.0
0.0,7.0,18.6
0.0,4.9,18.1
0.0,3.0,20.2
0.0,3.0,21.0
0.0,1.2,21.2
0.0,1.0,20.8
0.0,0.5,19.9
0.0,1.6,20.2
0.0,7.1,18.3
0.0,3.6,15.2
0.0,5.6,22.5
0.0,4.4,22.2
0.0,1.0,22.7
0.0,3.2,20.4
2.1,6.1,13.8
0.2,4.5,20.8
0.0,4.5,21.6
0.0,1.0,21.3
0.0,0.4,22.4
0.0,0.6,20.2
2.9,6.0,21.1
0.0,3.3,23.0
0.0,5.6,22.6
0.0,1.6,23.1
0.0,4.6,22.0
0.0,3.6,23.0
0.0,1.5,21.2
0.0,0.6,21.7
0.0,4.0,21.0
0.0,0.2,22.5
0.0,1.2,22.4
0.0,1.2,23.1
0.0,1.8,23.8
0.0,2.5,22.0
0.0,4.6,20.7
0.0,1.7,20.2
0.0,3.3,16.5
0.1,5.5,19.3
0.0,8.4,18.5
0.0,4.2,22.8
0.8,7.0,22.7
0.0,4.6,23.0
0.0,4.8,25.5
0.0,5.3,26.5
0.0,5.7,26.8
0.0,7.4,25.0
0.0,4.6,23.9
0.0,4.5,23.5
0.0,5.8,25.0
0.0,6.2,24.4
0.0,8.5,23.4
3.0,8.3,23.2
0.0,6.7,24.6
0.0,6.7,24.1
0.0,6.4,24.8
0.0,6.1,26.3
0.0,6.4,26.4
0.0,7.2,27.1
0.0,6.6,27.2
0.0,6.7,28.5
0.0,10.7,21.7
11.0,5.0,24.5
0.0,5.3,26.8
0.0,7.5,27.6
0.0,10.2,27.5
3.8,5.3,28.2
2.3,8.0,28.7
0.0,9.6,29.0
0.0,10.7,30.5
0.0,12.7,31.5
0.0,11.6,32.4
0.0,11.3,31.1
0.0,10.7,31.7
0.0,9.6,31.7
0.0,9.4,30.2
0.0,9.8,30.5
0.0,9.2,31.2
0.0,10.4,30.7
0.0,8.7,28.6
0.0,10.0,29.5
0.0,11.0,29.5
0.0,12.3,28.5
0.0,13.3,26.0
0.2,12.6,27.4
0.0,13.5,28.6
0.4,12.0,28.5
0.0,11.2,29.5
0.0,13.4,27.3
0.0,13.0,27.9
13.9,14.0,27.4
5.6,12.1,28.7
0.0,13.5,30.6
8.6,13.4,25.6
0.0,13.4,25.5
27.0,13.6,26.0
0.0,15.0,26.5
6.2,15.0,28.5
0.0,13.5,30.0
0.0,12.6,28.9
0.0,15.0,29.7
3.3,13.0,29.6
0.0,15.0,28.4
0.0,17.7,27.9
0.0,17.0,29.4
0.0,17.3,29.2
23.0,15.0,25.7
7.5,13.1,28.0
0.0,15.6,28.1
0.0,16.0,28.5
0.0,16.5,31.5
3.7,19.4,31.6
0.0,19.0,30.7
0.0,15.0,32.3
0.0,16.5,31.5
20.2,17.8,27.0
1.6,17.4,31.0
1.0,19.9,31.0
1.8,17.1,30.1
17.6,17.7,25.5
4.0,18.3,26.4
14.4,17.8,27.4
2.7,18.0,28.1
34.6,18.5,27.0
3.0,19.7,28.1
4.4,20.1,27.4
5.9,18.4,28.8
13.8,17.7,28.5
5.0,18.5,29.6
42.4,16.7,25.4
0.0,18.4,25.0
16.4,18.3,27.5
0.0,18.4,29.6
7.8,19.5,31.3
5.0,20.0,30.5
0.0,18.3,30.4
11.8,19.5,26.0
3.3,19.3,24.0
9.3,19.6,27.5
0.4,19.4,27.0
0.6,20.3,28.8
0.0,20.0,30.7
0.0,20.8,29.4
0.0,19.0,30.8
0.0,20.0,30.0
0.5,21.1,28.5
14.0,20.3,29.5
6.0,20.5,29.8
49.0,19.8,30.5
15.8,19.0,29.5
20.2,20.0,29.6
0.0,20.5,30.6
38.5,20.2,26.4
43.6,18.8,29.0
4.1,19.7,26.7
4.2,19.3,29.8
13.6,19.5,29.3
1.2,20.4,29.6
0.8,20.2,29.5
0.0,20.6,29.5
0.4,20.2,28.4
17.0,18.8,26.7
3.4,20.0,28.7
0.8,20.4,29.1
5.0,20.0,29.4
3.6,19.5,31.2
4.0,20.5,23.8
7.0,20.5,28.6
5.8,19.0,29.7
15.4,20.4,29.7
0.6,20.5,29.7
11.6,20.0,29.6
0.0,20.9,30.8
23.4,21.0,29.8
0.2,20.4,30.3
8.6,20.4,29.6
9.2,20.0,29.3
4.4,19.8,30.4
37.4,20.0,29.0
13.6,19.6,30.0
0.0,20.4,29.5
0.5,20.1,25.6
22.2,19.9,30.1
2.6,20.5,29.4
25.6,20.6,28.0
37.0,19.3,28.9
21.2,19.4,29.3
19.8,20.2,29.4
20.5,19.8,30.3
10.7,20.3,27.2
0.2,19.6,28.2
5.0,20.6,27.2
19.0,20.0,23.4
73.0,19.6,26.0
27.2,18.7,28.8
0.2,19.8,29.5
0.0,20.5,29.2
3.0,20.5,29.6
39.0,20.0,30.5
98.6,19.8,28.9
2.9,20.7,29.0
47.0,19.4,27.2
1.4,19.0,29.0
0.4,20.1,29.5
3.2,20.4,27.9
6.2,19.6,29.6
2.6,19.9,29.4
1.2,19.7,29.6
0.1,20.2,30.5
0.0,21.2,29.7
0.0,20.0,31.0
2.6,20.3,30.6
1.8,20.4,27.2
0.1,20.5,31.3
3.6,19.7,30.5
30.0,20.5,29.6
1.2,19.3,30.6
0.2,20.2,31.3
0.0,19.5,31.0
3.1,20.0,27.9
0.4,20.0,29.8
11.0,20.0,24.4
5.7,19.8,31.0
14.8,19.3,26.2
5.0,19.5,27.5
0.0,19.8,30.4
11.4,20.2,29.0
0.0,18.8,26.7
0.1,19.0,30.0
3.9,19.6,28.6
3.9,19.7,24.5
1.2,19.1,25.6
8.6,19.1,27.2
0.0,18.7,30.0
2.6,19.0,30.7
0.0,19.1,31.2
0.0,20.3,30.7
3.2,19.2,27.5
0.2,19.5,26.7
3.4,19.5,28.8
5.8,18.5,27.6
23.0,18.0,29.0
22.4,17.8,26.7
9.6,18.0,26.0
0.0,17.0,26.5
0.0,18.1,28.0
0.0,17.3,28.3
0.0,16.6,28.0
0.0,14.5,28.5
0.0,14.8,28.4
0.0,15.7,28.5
0.0,14.6,27.4
0.3,12.5,28.0
0.0,12.7,28.7
0.0,16.4,27.6
0.0,16.0,28.6
0.0,17.7,29.3
0.0,16.0,29.8
0.0,16.3,29.2
0.0,17.5,30.0
0.0,17.0,30.2
0.0,15.0,29.0
0.0,15.5,28.5
0.0,15.4,28.8
0.0,14.8,28.6
0.0,14.2,28.6
0.0,13.3,28.0
0.0,12.0,28.0
0.0,12.5,28.5
0.0,11.8,29.3
0.0,11.6,28.0
0.0,10.8,27.7
0.0,11.6,27.4
0.0,12.6,26.2
0.0,12.8,27.5
0.0,12.8,27.0
0.0,12.8,26.0
0.0,12.0,26.0
0.0,12.4,27.0
0.6,11.2,26.8
0.0,12.3,26.4
0.0,12.0,23.5
0.0,10.5,26.5
0.0,9.0,27.4
0.0,17.0,23.7
0.0,11.5,25.7
0.0,10.0,26.9
0.0,11.5,26.4
0.0,10.5,26.1
0.0,9.8,26.4
0.0,9.1,26.0
0.0,9.0,25.8
0.0,10.5,25.5
0.0,12.0,25.8
0.0,12.5,24.2
0.0,12.3,24.6
0.0,13.5,24.7
0.0,11.8,24.2
0.0,8.5,24.2
0.0,10.0,24.8
0.0,8.7,24.8
0.0,11.3,24.5
0.0,10.2,24.5
0.0,7.8,24.0
0.0,7.5,24.4
0.0,6.3,22.8
0.0,6.2,22.5
0.0,5.8,22.4
0.0,8.4,23.8
0.0,8.0,24.0
0.0,7.0,24.2
0.0,7.2,20.0
0.0,4.8,22.7
0.0,4.0,24.0
0.0,1.5,21.3
0.0,1.5,19.5
0.0,1.5,21.5
0.0,1.5,22.3
0.0,2.5,21.5
0.0,2.2,20.0
0.0,2.5,21.0
0.0,3.2,20.7
0.0,3.6,21.1
0.0,4.0,20.7
0.0,3.5,20.5
0.0,3.0,19.2
0.0,4.0,20.4
0.0,2.0,21.5
0.0,3.0,21.1
0.0,3.7,21.0
0.0,4.0,22.4
0.0,3.0,22.2
0.0,4.0,22.8
0.0,3.6,19.8
0.0,8.6,20.3
0.0,3.2,23.0
0.0,2.5,23.1
0.0,3.5,22.0
0.0,5.6,22.4
0.0,3.5,22.2
0.0,3.0,21.0
0.0,2.8,21.7
0.0,3.5,18.6
0.0,2.4,19.1
0.2,9.0,20.8
6.8,8.4,20.8
0.0,6.8,22.0
0.0,7.5,20.0
0.0,2.5,20.0
0.0,0.5,19.2
0.0,0.6,19.1
0.0,1.6,19.6
0.0,0.0,19.4
0.0,-0.4,19.3
0.0,-0.5,18.5
0.0,0.0,18.5
0.0,-0.8,19.5
0.0,-1.0,20.0
0.0,-1.0,20.3
0.0,0.6,21.0
0.0,1.0,21.5
0.0,0.2,21.3
0.0,0.2,21.5
0.0,0.8,21.6
0.0,1.3,21.1
0.0,1.4,21.5
0.0,0.2,23.1
0.0,5.2,21.1
0.0,2.2,19.9
0.0,2.0,18.5
0.0,2.0,19.5
0.0,5.6,20.3
0.0,5.5,19.9
0.0,5.2,21.5
0.0,3.5,24.3
0.0,4.9,27.4
0.0,6.0,27.1
0.0,5.0,26.9
0.0,0.6,26.2
0.0,1.8,23.6
0.0,0.3,24.5
0.0,-0.3,24.5
0.0,0.4,24.3
0.0,1.7,24.0
0.0,2.4,22.3
0.0,5.0,25.0
0.0,5.0,24.6
0.0,4.5,26.6
0.0,3.5,23.2
0.0,4.5,25.0
0.0,6.6,19.6
0.0,9.0,25.5
0.0,6.0,26.5
0.0,6.0,27.1
0.0,5.5,26.8
0.0,6.2,25.5
0.0,4.3,21.0
0.0,5.2,24.0
0.0,6.5,23.0
0.0,9.3,23.0
1.5,9.5,21.1
14.2,7.3,25.0
0.0,5.0,25.5
0.0,7.4,26.2
0.0,7.4,26.6
